nombre,genero,desarrollador,clasificacion
Grand Theft Auto IV,Action,Rockstar Games,M
The Elder Scrolls IV: Oblivion,Action,Bethesda,M
Tony Hawk's Pro Skater 2,Sports,Activision,T
Minecraft,"Sandbox, Survival",Mojang Studios,E10+ (Everyone 10+)
Grand Theft Auto V,Action,Rockstar North,M (Mature 17+)
Fortnite,"Battle Royale, Survival",Epic Games,T (Teen)
Call of Duty: Modern Warfare III,Action,Sledgehammer Games,M (Mature 17+)
Roblox,"Sandbox, Creation Platform",Roblox Corporation,T (Teen)
League of Legends,Multiplayer Online Battle Arena (MOBA),Riot Games,T (Teen)
EA Sports FC 25,"Sports",EA Vancouver & EA Romania,E (Everyone)
The Legend of Zelda: Tears of the Kingdom,Action-Adventure,Nintendo EPD,E10+ (Everyone 10+)
Valorant,Tactical First-Person Shooter,Riot Games,T (Teen)
Among Us,"Social Deduction, Party",Innersloth,E10+ (Everyone 10+)
Apex Legends,"Action",Respawn Entertainment,T (Teen)
Elden Ring,Action,FromSoftware,M (Mature 17+)
Assassin's Creed Valhalla,Action,Ubisoft Montreal,M (Mature 17+)
Rayman Legends,Platformer,Ubisoft Montpellier,E10+ (Everyone 10+)

